chana:3075,1600.4172,1551.1848,1606.824,1605.2524,2669.2525,2907.1871,2877.3171,2864.2523,3400.1529,3652.2531,3922.3499,3629.2539,5000.5000,2186.4995,2605.4945,3042.0,2246.16,2663.76,3096.2465,0;
chana2:3187,1668.4282,1711.1946,1588.907,1528.2589,2745.2557,2970.1829,2865.3259,2938.2526,3453.1358,3553.2493,3949.3605,3654.2399,5000.5000,2351.4956,2761.4870,3191.12,2096.0,2513.26,2951.2724,0;
eden:3113,1555.4223,1504.1896,1570.854,1564.2572,2617.2562,2866.1986,2875.3125,2863.2552,3360.1674,3703.2538,3992.3366,3684.2520,5000.5000,2147.4965,2566.4885,2999.0,2217.32,2638.105,3071.2547,0;
elad:3168,1570.4290,1543.1904,1516.851,1464.2593,2888.2570,3064.1856,2955.3254,2982.2558,3568.1548,3737.2557,4042.3485,3744.2512,5000.5000,2113.4945,2524.4853,2947.0,2011.26,2431.91,2865.2620,0;
ester:2829,1675.3986,1578.1665,1679.672,1627.2155,2888.2215,3102.1669,3060.2848,3047.2241,3611.1426,3817.2286,4139.3244,3787.2374,5000.5000,2165.4966,2598.4887,3041.0,2235.48,2658.143,3089.2201,0;
ester2:3023,1636.4159,1608.1767,1629.732,1614.2380,2781.2398,3010.1774,2974.3051,2972.2403,3523.1495,3759.2431,4082.3387,3747.2476,5000.5000,2190.4952,2607.4861,3035.0,2196.55,2613.156,3038.2395,0;
kristenstew:2989,1621.4123,1530.1778,1638.758,1620.2418,2863.2439,3042.1843,2973.3053,2957.2457,3479.1567,3663.2492,4002.3399,3648.2557,5000.5000,2084.4974,2501.4908,2931.0,2165.52,2577.143,3003.2303,0;
michal:3055,1711.4230,1649.1741,1680.689,1611.2351,2895.2367,3091.1711,3000.3062,3027.2353,3553.1395,3702.2363,4034.3379,3741.2383,5000.5000,2206.4946,2620.4852,3043.0,2138.36,2549.113,2970.2442,0;
oreo4:3176,1671.4292,1624.1904,1646.813,1595.2661,2881.2642,3100.1993,3054.3240,3044.2646,3609.1657,3801.2658,4117.3566,3785.2636,5000.5000,2201.4952,2617.4862,3042.0,2174.58,2600.158,3035.2573,0;
princess2:3019,1545.4111,1545.1856,1546.849,1543.2427,2436.2441,2730.1845,2747.3051,2739.2440,3224.1469,3560.2437,3778.3429,3538.2405,5000.5000,2285.4980,2703.4922,3140.0,2267.4,2685.46,3122.2487,0;
song2:3033,1753.4187,1758.1777,1668.739,1566.2337,2914.2349,3119.1722,3020.3013,3088.2335,3597.1394,3705.2349,4105.3363,3811.2353,5000.5000,2336.4932,2754.4826,3180.0,2080.36,2501.116,2932.2509,0;
chana:3075,1600.4172,1551.1848,1606.824,1605.2524,2669.2525,2907.1871,2877.3171,2864.2523,3400.1529,3652.2531,3922.3499,3629.2539,5000.5000,2186.4995,2605.4945,3042.0,2246.16,2663.76,3096.2465,0;
chana2:3187,1668.4282,1711.1946,1588.907,1528.2589,2745.2557,2970.1829,2865.3259,2938.2526,3453.1358,3553.2493,3949.3605,3654.2399,5000.5000,2351.4956,2761.4870,3191.12,2096.0,2513.26,2951.2724,0;
eden:3113,1555.4223,1504.1896,1570.854,1564.2572,2617.2562,2866.1986,2875.3125,2863.2552,3360.1674,3703.2538,3992.3366,3684.2520,5000.5000,2147.4965,2566.4885,2999.0,2217.32,2638.105,3071.2547,0;
elad:3168,1570.4290,1543.1904,1516.851,1464.2593,2888.2570,3064.1856,2955.3254,2982.2558,3568.1548,3737.2557,4042.3485,3744.2512,5000.5000,2113.4945,2524.4853,2947.0,2011.26,2431.91,2865.2620,0;
ester:2829,1675.3986,1578.1665,1679.672,1627.2155,2888.2215,3102.1669,3060.2848,3047.2241,3611.1426,3817.2286,4139.3244,3787.2374,5000.5000,2165.4966,2598.4887,3041.0,2235.48,2658.143,3089.2201,0;
ester2:3023,1636.4159,1608.1767,1629.732,1614.2380,2781.2398,3010.1774,2974.3051,2972.2403,3523.1495,3759.2431,4082.3387,3747.2476,5000.5000,2190.4952,2607.4861,3035.0,2196.55,2613.156,3038.2395,0;
kristen stew:2989,1621.4123,1530.1778,1638.758,1620.2418,2863.2439,3042.1843,2973.3053,2957.2457,3479.1567,3663.2492,4002.3399,3648.2557,5000.5000,2084.4974,2501.4908,2931.0,2165.52,2577.143,3003.2303,0;
michal:3055,1711.4230,1649.1741,1680.689,1611.2351,2895.2367,3091.1711,3000.3062,3027.2353,3553.1395,3702.2363,4034.3379,3741.2383,5000.5000,2206.4946,2620.4852,3043.0,2138.36,2549.113,2970.2442,0;
oreo 4:3176,1671.4292,1624.1904,1646.813,1595.2661,2881.2642,3100.1993,3054.3240,3044.2646,3609.1657,3801.2658,4117.3566,3785.2636,5000.5000,2201.4952,2617.4862,3042.0,2174.58,2600.158,3035.2573,0;
princess 2:3019,1545.4111,1545.1856,1546.849,1543.2427,2436.2441,2730.1845,2747.3051,2739.2440,3224.1469,3560.2437,3778.3429,3538.2405,5000.5000,2285.4980,2703.4922,3140.0,2267.4,2685.46,3122.2487,0;
song 2:3033,1753.4187,1758.1777,1668.739,1566.2337,2914.2349,3119.1722,3020.3013,3088.2335,3597.1394,3705.2349,4105.3363,3811.2353,5000.5000,2336.4932,2754.4826,3180.0,2080.36,2501.116,2932.2509,0;
Untitled:3041,1649.4150,1520.1831,1622.817,1535.2460,3041.2475,3161.1870,3030.3092,3023.2494,3615.1671,3708.2515,4047.3385,3692.2544,5000.5000,1965.4970,2387.4905,2819.0,1994.38,2415.118,2847.2441,0;
Untitled1:2992,1629.4171,1588.1721,1549.702,1426.2222,2795.2253,2967.1609,2868.2962,2929.2240,3403.1342,3639.2218,4025.3206,3695.2189,5000.5000,2167.4948,2579.4857,3006.0,1934.1,2342.44,2766.2441,0;
Untitled10:3327,1785.4441,1742.2092,1671.979,1486.2811,3106.2732,3256.2080,3120.3295,3196.2682,3734.1647,3777.2610,4229.3476,3878.2451,5000.5000,2238.4900,2650.4759,3062.0,1892.17,2327.71,2769.2974,0;
Untitled2:3358,1758.4469,1657.2029,1731.885,1653.2990,3013.2924,3188.2224,3120.3499,3092.2930,3631.1875,3801.2921,4096.3767,3755.2835,5000.5000,2149.4967,2561.4890,2980.0,2190.57,2618.159,3053.2745,0;
Untitled3:3134,1757.4262,1674.1854,1716.797,1621.2571,3034.2563,3188.1970,3107.3123,3117.2570,3600.1746,3818.2571,4217.3364,3826.2541,5000.5000,2164.4918,2581.4795,3003.0,2110.61,2531.168,2959.2573,0;
Untitled4:2889,1574.4013,1541.1699,1567.739,1563.2161,2788.2206,2987.1585,2919.2914,2926.2201,3451.1342,3717.2208,3973.3186,3717.2244,5000.5000,2149.4957,2573.4876,3012.0,2129.20,2543.77,2973.2313,0;
Untitled5:3214,1521.4250,1408.2013,1540.985,1528.2870,2784.2827,2965.2113,2923.3443,2866.2845,3455.1835,3730.2854,4030.3703,3635.2844,5000.4996,1931.5000,2343.4965,2774.0,2124.34,2545.108,2983.2609,0;
Untitled6:2788,1609.4016,1480.1566,1688.534,1709.2025,2735.2115,2957.1569,2963.2783,2903.2145,3484.1345,3744.2216,4107.3231,3645.2358,5000.5000,1999.4981,2419.4922,2852.0,2293.57,2693.160,3100.2074,0;
Untitled8:2909,1739.4084,1666.1733,1706.726,1611.2179,3000.2217,3188.1685,3112.2821,3141.2210,3643.1387,3796.2207,4144.3147,3839.2224,5000.5000,2245.4947,2678.4844,3118.0,2120.8,2545.66,2981.2377,0;
Untitled9:2999,1597.4115,1499.1775,1618.749,1600.2438,2822.2453,2995.1757,2921.3171,2897.2455,3450.1439,3637.2492,4117.3540,3613.2580,5000.5000,2002.4994,2415.4945,2847.0,2142.47,2546.140,2967.2342,0;
chana:3075,1600.4172,1551.1848,1606.824,1605.2524,2669.2525,2907.1871,2877.3171,2864.2523,3400.1529,3652.2531,3922.3499,3629.2539,5000.5000,2186.4995,2605.4945,3042.0,2246.16,2663.76,3096.2465,0;
chana2:3187,1668.4282,1711.1946,1588.907,1528.2589,2745.2557,2970.1829,2865.3259,2938.2526,3453.1358,3553.2493,3949.3605,3654.2399,5000.5000,2351.4956,2761.4870,3191.12,2096.0,2513.26,2951.2724,0;
eden:3113,1555.4223,1504.1896,1570.854,1564.2572,2617.2562,2866.1986,2875.3125,2863.2552,3360.1674,3703.2538,3992.3366,3684.2520,5000.5000,2147.4965,2566.4885,2999.0,2217.32,2638.105,3071.2547,0;
elad:3168,1570.4290,1543.1904,1516.851,1464.2593,2888.2570,3064.1856,2955.3254,2982.2558,3568.1548,3737.2557,4042.3485,3744.2512,5000.5000,2113.4945,2524.4853,2947.0,2011.26,2431.91,2865.2620,0;
ester:2829,1675.3986,1578.1665,1679.672,1627.2155,2888.2215,3102.1669,3060.2848,3047.2241,3611.1426,3817.2286,4139.3244,3787.2374,5000.5000,2165.4966,2598.4887,3041.0,2235.48,2658.143,3089.2201,0;
ester2:3023,1636.4159,1608.1767,1629.732,1614.2380,2781.2398,3010.1774,2974.3051,2972.2403,3523.1495,3759.2431,4082.3387,3747.2476,5000.5000,2190.4952,2607.4861,3035.0,2196.55,2613.156,3038.2395,0;
kristenstew:2989,1621.4123,1530.1778,1638.758,1620.2418,2863.2439,3042.1843,2973.3053,2957.2457,3479.1567,3663.2492,4002.3399,3648.2557,5000.5000,2084.4974,2501.4908,2931.0,2165.52,2577.143,3003.2303,0;
michal:3055,1711.4230,1649.1741,1680.689,1611.2351,2895.2367,3091.1711,3000.3062,3027.2353,3553.1395,3702.2363,4034.3379,3741.2383,5000.5000,2206.4946,2620.4852,3043.0,2138.36,2549.113,2970.2442,0;
oreo4:3176,1671.4292,1624.1904,1646.813,1595.2661,2881.2642,3100.1993,3054.3240,3044.2646,3609.1657,3801.2658,4117.3566,3785.2636,5000.5000,2201.4952,2617.4862,3042.0,2174.58,2600.158,3035.2573,0;
princess 2:3019,1545.4111,1545.1856,1546.849,1543.2427,2436.2441,2730.1845,2747.3051,2739.2440,3224.1469,3560.2437,3778.3429,3538.2405,5000.5000,2285.4980,2703.4922,3140.0,2267.4,2685.46,3122.2487,0;
song2:3033,1753.4187,1758.1777,1668.739,1566.2337,2914.2349,3119.1722,3020.3013,3088.2335,3597.1394,3705.2349,4105.3363,3811.2353,5000.5000,2336.4932,2754.4826,3180.0,2080.36,2501.116,2932.2509,0;
Untitled:3041,1649.4150,1520.1831,1622.817,1535.2460,3041.2475,3161.1870,3030.3092,3023.2494,3615.1671,3708.2515,4047.3385,3692.2544,5000.5000,1965.4970,2387.4905,2819.0,1994.38,2415.118,2847.2441,0;
Untitled1:2992,1629.4171,1588.1721,1549.702,1426.2222,2795.2253,2967.1609,2868.2962,2929.2240,3403.1342,3639.2218,4025.3206,3695.2189,5000.5000,2167.4948,2579.4857,3006.0,1934.1,2342.44,2766.2441,0;
Untitled10:3327,1785.4441,1742.2092,1671.979,1486.2811,3106.2732,3256.2080,3120.3295,3196.2682,3734.1647,3777.2610,4229.3476,3878.2451,5000.5000,2238.4900,2650.4759,3062.0,1892.17,2327.71,2769.2974,0;
Untitled2:3358,1758.4469,1657.2029,1731.885,1653.2990,3013.2924,3188.2224,3120.3499,3092.2930,3631.1875,3801.2921,4096.3767,3755.2835,5000.5000,2149.4967,2561.4890,2980.0,2190.57,2618.159,3053.2745,0;
Untitled3:3134,1757.4262,1674.1854,1716.797,1621.2571,3034.2563,3188.1970,3107.3123,3117.2570,3600.1746,3818.2571,4217.3364,3826.2541,5000.5000,2164.4918,2581.4795,3003.0,2110.61,2531.168,2959.2573,0;
Untitled4:2889,1574.4013,1541.1699,1567.739,1563.2161,2788.2206,2987.1585,2919.2914,2926.2201,3451.1342,3717.2208,3973.3186,3717.2244,5000.5000,2149.4957,2573.4876,3012.0,2129.20,2543.77,2973.2313,0;
Untitled5:3214,1521.4250,1408.2013,1540.985,1528.2870,2784.2827,2965.2113,2923.3443,2866.2845,3455.1835,3730.2854,4030.3703,3635.2844,5000.4996,1931.5000,2343.4965,2774.0,2124.34,2545.108,2983.2609,0;
Untitled6:2788,1609.4016,1480.1566,1688.534,1709.2025,2735.2115,2957.1569,2963.2783,2903.2145,3484.1345,3744.2216,4107.3231,3645.2358,5000.5000,1999.4981,2419.4922,2852.0,2293.57,2693.160,3100.2074,0;
Untitled8:2909,1739.4084,1666.1733,1706.726,1611.2179,3000.2217,3188.1685,3112.2821,3141.2210,3643.1387,3796.2207,4144.3147,3839.2224,5000.5000,2245.4947,2678.4844,3118.0,2120.8,2545.66,2981.2377,0;
Untitled9:2999,1597.4115,1499.1775,1618.749,1600.2438,2822.2453,2995.1757,2921.3171,2897.2455,3450.1439,3637.2492,4117.3540,3613.2580,5000.5000,2002.4994,2415.4945,2847.0,2142.47,2546.140,2967.2342,0;
